[2026-07-14T18:46:31.112Z] GET https://download-video-ak.vimeocdn.com/v3-1/playback/e47e105f-a360-4717-bc5a-c7b75723d408/a2745ce1-89b8f1f4?__token__=st=1784054791~exp=1784058391~acl=%2Fv3-1%2Fplayback%2Fe47e105f-a360-4717-bc5a-c7b75723d408%2Fa2745ce1-89b8f1f4%2A~hmac=fc9200a72fbace291cbeb79311d87e1d929a723f0f91a015fcaee54bdbb8abe8&r=dXMtY2VudHJhbDE%3D → pending (?ms, ?B)
[2026-07-14T18:46:31.650Z] GET https://download-video-ak.vimeocdn.com/v3-1/playback/6170e242-1ae2-4180-93e2-28f17a1c625e/925c170e?__token__=st=1784054791~exp=1784058391~acl=%2Fv3-1%2Fplayback%2F6170e242-1ae2-4180-93e2-28f17a1c625e%2F925c170e%2A~hmac=b4e8771d84af23cefd818cdded299d80f5f2195f3c320babe102ff18dd1aa85a&r=dXMtY2VudHJhbDE%3D → pending (?ms, ?B)
[2026-07-14T18:46:34.216Z] GET https://www.astute-7-visionary.com/Track/Capture.aspx?retType=js&trk_jshv=1&trk_user=808588&trk_sw=1440&trk_sh=900&trk_ref=&trk_tit=Hut%208&trk_loc=https%3A%2F%2Fwww.hut8.com%2F&trk_agn=Netscape&trk_agv=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20HeadlessChrome%2F145.0.7632.6%20Safari%2F537.36&trk_dom=www.hut8.com&trk_cookie=NA&trk_dt=undefined → pending (?ms, ?B)
[2026-07-14T18:46:35.784Z] POST https://ad.doubleclick.net/ccm/s/collect?auid=1055915883.1784054796&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549xec → 204 (167ms, ?B)
[2026-07-14T18:46:35.784Z] GET https://googleads.g.doubleclick.net/pagead/viewthroughconversion/11333630925/?random=1784054795742&cv=11&fst=1784054795742&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&u_w=1440&u_h=900&url=https%3A%2F%2Fwww.hut8.com%2F&rcb=14&frm=0&tiba=Hut%208&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1055915883.1784054796&data=event%3Dgtag.config&ept=9&rfmt=3&fmt=4 → 200 (168ms, 3057B)
[2026-07-14T18:46:35.785Z] POST https://www.google.com/rmkt/collect/11333630925/?random=1784054795742&cv=11&fst=1784054795742&fmt=8&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&u_w=1440&u_h=900&url=https%3A%2F%2Fwww.hut8.com%2F&rcb=14&frm=0&tiba=Hut%208&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1055915883.1784054796&data=event%3Dgtag.config&ept=68&gcp=5 → 200 (167ms, ?B)
[2026-07-14T18:46:35.785Z] POST https://www.google.com/ccm/collect?rcb=14&frm=0&auid=1055915883.1784054796&dt=Hut%208&en=page_view&dl=https%3A%2F%2Fwww.hut8.com%2F&scrsrc=www.googletagmanager.com&rnd=938645080.1784054796&navt=n&npa=0&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&apve=1&apvf=f&apvc=1&tids=AW-11333630925&tid=AW-11333630925&tft=1784054795783&tfd=6022&fmt=8 → 200 (166ms, ?B)
[2026-07-14T18:46:35.951Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-2EEYSG8CZE&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549&_p=1784054790594&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1518182450.1784054796&frm=0&ngs=1&pscdl=noapi&rcb=14&sr=1440x900&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=Linux&uapv=&uaw=0&ul=en-us&_s=1&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&sid=1784054795&sct=1&seg=0&dl=https%3A%2F%2Fwww.hut8.com%2F&dt=Hut%208&en=page_view&_fv=1&_nsi=1&_ss=1&tfd=6184 → 204 (219ms, ?B)
[2026-07-14T18:46:35.951Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-KT0BR5X12V&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549&_p=1784054790594&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1518182450.1784054796&frm=0&ngs=1&pscdl=noapi&rcb=14&sr=1440x900&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=Linux&uapv=&uaw=0&ul=en-us&_s=1&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&sid=1784054795&sct=1&seg=0&dl=https%3A%2F%2Fwww.hut8.com%2F&dt=Hut%208&en=page_view&_fv=1&_ss=1&tfd=6188 → 204 (219ms, ?B)
[2026-07-14T18:46:36.156Z] GET https://www.google.com/pagead/1p-user-list/11333630925/?random=1784054795742&cv=11&fst=1784052000000&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45je67d0v9165783878z89230928549za20gzb9230928549zd9230928549xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&u_w=1440&u_h=900&url=https%3A%2F%2Fwww.hut8.com%2F&rcb=14&frm=0&tiba=Hut%208&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1055915883.1784054796&data=event%3Dgtag.config&ept=9&rfmt=3&fmt=3&is_vtc=1&cid=CAQS0wEAEQoqgQFjSJiHAT9Rwwowt4GLQLtWZCh6AN9vU6TVC8990WVud7Us1cnFsgEIQgLiyMmQcZYuT--Q9h8oXxdA6mcImqd-iTaSfDCEXskqeC6V6nLhK8dXnPCc2rZ3lDTiIPDp6KqAL3koXjvm9lvWZrFOZcTG5-e5zIWUsEcySGpfL6i_phAybyXyyvfN7e4QRBmxZfsYc2ZH7SqhxXdVJoPE1f7Sd2RpjScMsUa-Fe2kR4BGYQ8t4p4M8IRqutEov4or5RclTr917wfjWpAimPFM&random=1830201038&rmt_tld=0&ipr=y → pending (?ms, ?B)
[2026-07-14T18:47:20.641Z] GET https://www.hut8.com/_nuxt/DGwkVzZX.js → 200 (496ms, 541627B)
[2026-07-14T18:47:20.641Z] GET https://www.hut8.com/_nuxt/our-platform.DDhvnLG2.css → 200 (240ms, 10554B)
[2026-07-14T18:47:20.641Z] GET https://www.hut8.com/_nuxt/platform.CkrTEeiz.css → 200 (241ms, 1391B)
[2026-07-14T18:47:21.133Z] GET https://www.hut8.com/_nuxt/y8_ClwGz.js → 200 (5ms, -459B)
[2026-07-14T18:47:21.144Z] GET https://www.hut8.com/_nuxt/_D7-8Vgd.js → 200 (47ms, -478B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/ENw3cNOg.js → 200 (221ms, 779B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/DKT6dz_3.js → 200 (221ms, 2446B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/8mpKWSYU.js → 200 (221ms, 1047B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/Breadcrumbs.D2C9ay21.css → 200 (217ms, 634B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/BiOMYTFL.js → 200 (220ms, 2427B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/VideoPlayer.CRgUvvGu.css → 200 (217ms, 1383B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/C9tsXR1_.js → 200 (219ms, 3608B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/Df-5iWvn.js → 200 (221ms, 80723B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/BgEcYtaZ.js → 200 (219ms, 686B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/Quote.Cm5XWgJi.css → 200 (216ms, 765B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/DHwyxSyt.js → 200 (219ms, 1331B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/EventList.BXYZU7ij.css → 200 (219ms, 1064B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/ComponentParser.DTajR5yt.css → 200 (218ms, 4380B)
[2026-07-14T18:48:41.995Z] GET https://www.hut8.com/_nuxt/ArticleDetail.HR11ZXZO.css → 200 (218ms, 1771B)
[2026-07-14T18:48:42.416Z] GET https://www.hut8.com/_nuxt/lEVUus37.js → 200 (1ms, -476B)
[2026-07-14T18:48:42.416Z] GET https://www.hut8.com/_nuxt/3ZL7ZlSJ.js → 200 (2ms, -459B)
[2026-07-14T18:48:46.833Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-KT0BR5X12V&gtm=45je67d0v9165783878za20gzb9230928549zd9230928549&_p=1784054790594&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=1518182450.1784054796&frm=0&ngs=1&pscdl=noapi&rcb=14&sr=1440x900&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=Linux&uapv=&uaw=0&ul=en-us&_s=2&tag_exp=115938466~115938469~118826210~118897920~118897930~119027224~119381663~119773332&sid=1784054795&sct=1&seg=1&dl=https%3A%2F%2Fwww.hut8.com%2F&dt=Hut%208&en=scroll&epn.percent_scrolled=90&_et=125682&tfd=134999 → 204 (167ms, ?B)
[2026-07-14T19:15:01.644Z] GET http://localhost:5183/ → 200 (105ms, 12779B)
[2026-07-14T19:15:01.762Z] GET http://localhost:5183/@vite/client → 200 (48ms, 178928B)
[2026-07-14T19:15:01.762Z] GET http://localhost:5183/src/main.ts → pending (?ms, ?B)
[2026-07-14T19:15:01.811Z] GET http://localhost:5183/node_modules/vite/dist/client/env.mjs → 200 (7ms, 3478B)
[2026-07-14T19:15:02.335Z] GET http://localhost:5183/node_modules/@fontsource-variable/archivo/index.css → pending (?ms, ?B)
[2026-07-14T19:15:02.335Z] GET http://localhost:5183/node_modules/@fontsource/ibm-plex-mono/400.css → pending (?ms, ?B)
[2026-07-14T19:15:02.335Z] GET http://localhost:5183/node_modules/@fontsource/ibm-plex-mono/500.css → pending (?ms, ?B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/styles/tokens.css → 200 (64ms, 2244B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/styles/base.css → pending (?ms, ?B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/styles/typography.css → 200 (28ms, 941B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/styles/chrome.css → 200 (69ms, 4440B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/styles/sections.css → 200 (69ms, 10976B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/app/scroll.ts → 200 (289ms, 4059B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/app/preloader.ts → 200 (289ms, 4613B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/app/nav.ts → 200 (291ms, 6693B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/app/cursor.ts → 200 (291ms, 2862B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/app/sections/hero.ts → 200 (293ms, 4923B)
[2026-07-14T19:15:02.336Z] GET http://localhost:5183/src/app/sections/manifesto.ts → 200 (293ms, 3212B)
[2026-07-14T19:15:02.337Z] GET http://localhost:5183/src/app/sections/journey.ts → 200 (295ms, 6049B)
[2026-07-14T19:15:02.337Z] GET http://localhost:5183/src/app/sections/footprint.ts → 200 (294ms, 2264B)
[2026-07-14T19:15:02.337Z] GET http://localhost:5183/src/app/sections/stats.ts → 200 (297ms, 3123B)
[2026-07-14T19:15:02.337Z] GET http://localhost:5183/src/app/sections/industries.ts → 200 (297ms, 3070B)
[2026-07-14T19:15:02.337Z] GET http://localhost:5183/src/app/sections/footer.ts → 200 (299ms, 3370B)
[2026-07-14T19:15:02.337Z] GET http://localhost:5183/src/gl/stage.ts → 200 (300ms, 13479B)
[2026-07-14T19:15:02.626Z] GET http://localhost:5183/node_modules/.vite/deps/gsap.js?v=2cf0e4be → 200 (37ms, 169208B)
[2026-07-14T19:15:02.626Z] GET http://localhost:5183/node_modules/.vite/deps/gsap_ScrollTrigger.js?v=e3367c82 → 200 (32ms, 105733B)
